,date,time,coordinates,modis_aod
0,2023-11-01,00:00:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",409.1330848855163
1,2023-11-01,01:35:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",409.1330848855163
2,2023-11-01,03:15:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",409.1330848855163
3,2023-11-01,04:55:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",463.7929784839794
4,2023-11-01,06:30:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",486.74011221662323
5,2023-11-01,08:10:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",573.5476643940971
6,2023-11-01,12:05:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",573.5476643940971
7,2023-11-01,13:45:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",573.5476643940971
8,2023-11-01,14:45:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",573.5476643940971
9,2023-11-01,15:20:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",573.5476643940971
10,2023-11-01,17:00:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",573.5476643940971
