,date,time,coordinates,modis_lst
0,2023-11-01,00:00:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",15080.891523631673
1,2023-11-02,00:00:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",15108.849467171749
2,2023-11-03,00:00:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",15127.181028626868
3,2023-11-04,00:00:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",14929.135131589308
4,2023-11-05,00:00:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",15070.562580107282
5,2023-11-06,00:00:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",
6,2023-11-07,00:00:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",14882.939234654177
7,2023-11-08,00:00:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",15080.422008713076
8,2023-11-09,00:00:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",15078.39211407843
9,2023-11-10,00:00:00,"(((87.9199927, 23.1013063), (87.9749243, 22.2053779), (88.3429663, 22.1480794), (88.76594, 22.200307), (88.6505835, 23.2225159), (87.9199927, 23.1013063)),)",15073.101212439426
